ticket_id,trip_id,sold_at,payment_method,fare_kzt,passenger_type
1,529,2025-09-17T14:47:09,card,77.0,adult
2,649,2025-07-21T03:56:09,cash,69.0,adult
3,10392,2025-04-01T10:03:09,card,83.0,student
4,5507,2025-07-13T08:46:09,card,76.0,student
5,9089,2025-09-21T02:22:09,cash,111.0,student
6,5397,2025-09-03T07:24:09,card,50.0,student
7,11043,2025-08-18T05:59:09,card,70.0,student
8,10149,2025-09-13T22:22:09,card,91.0,senior
9,10861,2025-04-16T16:15:09,card,66.0,student
10,7748,2025-08-09T06:09:09,card,86.0,adult
11,175,2025-07-15T20:36:09,card,99.0,adult
12,4831,2025-08-19T22:38:09,card,67.0,adult
13,1176,2025-04-07T05:10:09,card,67.0,student
14,6113,2025-06-19T01:54:09,card,61.0,adult
15,5775,2025-08-30T00:42:09,cash,65.0,adult
16,6590,2025-05-23T12:03:09,card,103.0,adult
17,11264,2025-07-23T14:30:09,card,85.0,adult
18,2714,2025-06-07T18:52:09,card,72.0,student
19,10455,2025-07-28T08:55:09,card,59.0,adult
20,9305,2025-07-15T23:41:09,card,76.0,adult
21,5356,2025-06-14T06:28:09,qr,79.0,adult
22,5607,2025-08-01T11:19:09,cash,50.0,student
23,4708,2025-08-15T23:10:09,card,94.0,adult
24,7655,2025-09-07T00:48:09,card,70.0,senior
25,9294,2025-05-17T16:36:09,qr,71.0,adult
26,383,2025-06-24T09:02:09,cash,85.0,student
27,11904,2025-06-04T22:19:09,card,98.0,adult
28,1331,2025-09-06T17:52:09,cash,54.0,student
29,1882,2025-03-31T22:11:09,qr,72.0,adult
30,7075,2025-08-19T18:48:09,cash,73.0,adult
31,1263,2025-05-27T09:26:09,cash,57.0,adult
32,8931,2025-05-04T18:07:09,qr,106.0,student
33,2622,2025-09-15T15:33:09,qr,101.0,adult
34,3850,2025-05-21T01:42:09,card,79.0,student
35,7104,2025-09-11T12:07:09,card,81.0,adult
36,11349,2025-07-30T00:13:09,cash,117.0,adult
37,2385,2025-09-19T19:19:09,qr,68.0,adult
38,10192,2025-06-29T06:20:09,card,66.0,student
39,7876,2025-06-03T05:28:09,qr,99.0,student
40,6294,2025-08-06T18:51:09,card,67.0,student
41,10558,2025-08-15T03:55:09,card,91.0,student
42,7679,2025-08-30T21:46:09,card,72.0,adult
43,9714,2025-04-23T00:34:09,qr,78.0,adult
44,7119,2025-04-07T12:07:09,card,85.0,student
45,5704,2025-05-27T21:13:09,qr,55.0,adult
46,3668,2025-07-13T17:20:09,cash,117.0,student
47,3201,2025-07-17T13:00:09,card,95.0,adult
48,752,2025-05-20T10:31:09,card,77.0,adult
49,3442,2025-04-18T11:54:09,card,65.0,adult
50,9655,2025-05-07T14:37:09,card,50.0,adult
51,3584,2025-08-18T16:03:09,card,106.0,adult
52,5527,2025-06-13T05:52:09,card,88.0,adult
53,4595,2025-06-27T04:32:09,card,50.0,adult
54,10103,2025-03-30T11:33:09,card,97.0,adult
55,6946,2025-06-09T23:40:09,cash,93.0,adult
56,4495,2025-05-18T06:15:09,card,126.0,adult
57,11174,2025-06-12T14:30:09,card,139.0,adult
58,172,2025-06-01T17:15:09,card,96.0,adult
59,1596,2025-05-21T10:54:09,cash,122.0,adult
60,1524,2025-06-08T11:05:09,cash,100.0,adult
61,1165,2025-04-24T01:51:09,card,92.0,adult
62,1887,2025-08-02T16:06:09,card,71.0,adult
63,8235,2025-07-13T23:13:09,qr,103.0,adult
64,8772,2025-06-25T00:04:09,cash,92.0,adult
65,964,2025-05-26T17:07:09,card,87.0,adult
66,385,2025-09-17T19:30:09,card,101.0,adult
67,10846,2025-05-02T05:31:09,card,83.0,student
68,9832,2025-04-04T03:13:09,card,60.0,student
69,9478,2025-09-17T03:57:09,cash,69.0,adult
70,8289,2025-06-14T17:06:09,cash,84.0,adult
71,5011,2025-06-16T13:34:09,qr,86.0,adult
72,3881,2025-04-02T18:25:09,cash,98.0,adult
73,3981,2025-05-18T09:08:09,cash,85.0,adult
74,6264,2025-05-21T07:24:09,card,102.0,adult
75,571,2025-06-14T18:25:09,cash,100.0,student
76,11187,2025-09-14T01:29:09,card,107.0,student
77,11694,2025-06-19T15:57:09,card,50.0,adult
78,837,2025-08-22T03:45:09,card,97.0,adult
79,6294,2025-04-15T10:48:09,cash,119.0,student
80,4361,2025-08-29T09:46:09,card,96.0,adult
81,4501,2025-09-11T22:15:09,card,79.0,adult
82,4693,2025-04-30T18:02:09,card,107.0,adult
83,6269,2025-07-15T06:38:09,card,119.0,adult
84,11558,2025-09-04T16:24:09,qr,106.0,student
85,8806,2025-05-16T20:33:09,cash,50.0,adult
86,11703,2025-09-14T09:16:09,card,104.0,student
87,3271,2025-08-28T14:48:09,cash,95.0,student
88,10097,2025-05-12T01:43:09,card,77.0,adult
89,4946,2025-09-08T20:49:09,cash,119.0,senior
90,4584,2025-07-07T00:12:09,card,62.0,adult
91,634,2025-07-03T15:07:09,card,101.0,adult
92,10673,2025-08-10T08:05:09,card,102.0,adult
93,1390,2025-08-30T17:06:09,card,84.0,adult
94,5809,2025-07-18T09:02:09,card,98.0,student
95,11668,2025-06-29T09:13:09,card,129.0,adult
96,7729,2025-05-16T03:21:09,card,90.0,adult
97,1464,2025-05-22T18:43:09,card,87.0,senior
98,11135,2025-06-27T17:14:09,card,86.0,adult
99,7195,2025-08-14T04:55:09,qr,69.0,adult
100,2977,2025-04-23T15:46:09,cash,92.0,student
101,3138,2025-06-23T09:40:09,qr,66.0,adult
102,10330,2025-05-05T15:05:09,card,84.0,adult
103,7100,2025-05-21T04:09:09,card,101.0,student
104,4791,2025-09-18T11:16:09,cash,91.0,student
105,3562,2025-07-19T22:44:09,card,61.0,senior
106,10455,2025-05-26T02:01:09,card,86.0,adult
107,4235,2025-07-14T17:52:09,qr,104.0,adult
108,6582,2025-06-28T13:42:09,card,76.0,adult
109,930,2025-06-20T16:40:09,card,101.0,adult
110,2968,2025-08-22T21:15:09,card,76.0,adult
111,9461,2025-07-05T23:14:09,card,118.0,adult
112,9187,2025-07-28T10:45:09,qr,89.0,senior
113,11812,2025-05-31T16:13:09,card,109.0,adult
114,1382,2025-07-12T15:33:09,card,101.0,adult
115,6223,2025-09-01T13:37:09,card,125.0,adult
116,1721,2025-07-27T18:31:09,card,112.0,student
117,8958,2025-08-21T14:18:09,qr,96.0,adult
118,1778,2025-06-19T11:40:09,card,86.0,adult
119,1456,2025-07-08T19:58:09,cash,68.0,adult
120,10085,2025-07-12T21:59:09,card,65.0,adult
121,1528,2025-08-16T08:36:09,card,74.0,adult
122,10456,2025-08-17T13:52:09,card,63.0,student
123,8968,2025-06-20T18:56:09,card,78.0,adult
124,6872,2025-07-10T04:27:09,qr,76.0,adult
125,1738,2025-06-26T08:53:09,card,105.0,adult
126,3353,2025-07-06T20:46:09,card,107.0,student
127,2441,2025-03-26T04:19:09,cash,65.0,adult
128,4731,2025-09-17T12:04:09,qr,55.0,student
129,2421,2025-07-20T21:10:09,cash,77.0,student
130,2204,2025-09-02T05:21:09,cash,96.0,student
131,3958,2025-09-11T17:01:09,qr,50.0,adult
132,46,2025-07-11T22:51:09,card,133.0,adult
133,10894,2025-06-14T18:05:09,cash,97.0,adult
134,10076,2025-07-04T17:09:09,card,85.0,adult
135,3231,2025-07-19T02:08:09,card,66.0,student
136,2336,2025-06-06T02:35:09,card,106.0,adult
137,10488,2025-08-24T06:16:09,card,79.0,adult
138,950,2025-06-14T01:46:09,qr,58.0,student
139,9178,2025-08-08T12:33:09,cash,80.0,adult
140,1582,2025-05-17T21:21:09,cash,99.0,senior
141,909,2025-05-05T02:22:09,card,96.0,adult
142,11113,2025-06-14T03:47:09,cash,114.0,adult
143,6590,2025-09-04T14:01:09,qr,79.0,adult
144,4359,2025-04-17T22:54:09,card,78.0,adult
145,543,2025-03-27T21:27:09,card,86.0,student
146,7778,2025-07-14T11:09:09,cash,77.0,adult
147,6785,2025-04-16T11:32:09,card,97.0,senior
148,376,2025-09-15T14:35:09,card,74.0,adult
149,8553,2025-05-08T05:37:09,qr,72.0,adult
150,6350,2025-06-24T19:02:09,card,91.0,adult
151,10293,2025-08-12T03:51:09,qr,96.0,adult
152,8961,2025-05-12T05:02:09,cash,69.0,student
153,7171,2025-08-17T05:05:09,cash,87.0,adult
154,788,2025-09-18T20:59:09,card,112.0,adult
155,2510,2025-06-17T06:37:09,card,137.0,adult
156,3588,2025-07-11T22:02:09,cash,111.0,student
157,11378,2025-05-14T18:03:09,cash,85.0,adult
158,3865,2025-09-08T21:50:09,card,84.0,adult
159,6280,2025-06-21T04:56:09,cash,105.0,adult
160,10648,2025-05-16T06:24:09,card,98.0,adult
161,389,2025-04-18T17:21:09,qr,89.0,adult
162,7982,2025-08-16T07:13:09,card,57.0,student
163,10654,2025-04-21T06:00:09,qr,97.0,adult
164,10385,2025-07-07T23:22:09,cash,94.0,student
165,6094,2025-05-27T19:13:09,card,81.0,adult
166,4507,2025-07-20T00:51:09,cash,104.0,adult
167,2215,2025-06-11T09:02:09,card,106.0,adult
168,7094,2025-06-16T14:08:09,card,67.0,adult
169,10795,2025-05-31T17:05:09,qr,100.0,adult
170,6213,2025-05-10T16:06:09,cash,115.0,senior
171,7925,2025-07-06T15:53:09,card,99.0,senior
172,3314,2025-03-26T18:11:09,card,104.0,senior
173,8894,2025-06-18T03:07:09,cash,77.0,adult
174,5070,2025-07-07T16:30:09,cash,82.0,adult
175,4324,2025-06-14T11:49:09,card,96.0,student
176,2940,2025-07-11T08:13:09,qr,95.0,adult
177,7885,2025-03-29T20:31:09,cash,68.0,adult
178,195,2025-03-30T03:53:09,qr,96.0,adult
179,11144,2025-07-16T07:50:09,card,94.0,adult
180,11619,2025-05-18T12:53:09,card,69.0,adult
181,11469,2025-04-21T23:34:09,card,101.0,adult
182,11497,2025-06-11T18:25:09,card,75.0,adult
